"Survived" "Pclass" "Sex" "Age" "SibSp" "Parch" "Fare" "Embarked" "C1_Label" "C2_Label" "C3_Label"
"1" 0 3 "male" 22 1 0 7.25 "S" 0 0 0
"2" 1 1 "female" 38 1 0 71.2833 "C" 1 1 1
"3" 1 3 "female" 26 0 0 7.925 "S" 1 1 1
"4" 1 1 "female" 35 1 0 53.1 "S" 1 1 1
"5" 0 3 "male" 35 0 0 8.05 "S" 0 0 0
"6" 0 3 "male" 29.6991176470588 0 0 8.4583 "Q" 0 0 0
"7" 0 1 "male" 54 0 0 51.8625 "S" 0 0 0
"8" 0 3 "male" 2 3 1 21.075 "S" 0 0 0
"9" 1 3 "female" 27 0 2 11.1333 "S" 1 1 0
"10" 1 2 "female" 14 1 0 30.0708 "C" 1 1 1
"11" 1 3 "female" 4 1 1 16.7 "S" 1 1 1
"12" 1 1 "female" 58 0 0 26.55 "S" 1 1 1
"13" 0 3 "male" 20 0 0 8.05 "S" 0 0 0
"14" 0 3 "male" 39 1 5 31.275 "S" 0 0 0
"15" 0 3 "female" 14 0 0 7.8542 "S" 1 1 1
"16" 1 2 "female" 55 0 0 16 "S" 1 1 1
"17" 0 3 "male" 2 4 1 29.125 "Q" 0 0 0
"18" 1 2 "male" 29.6991176470588 0 0 13 "S" 0 0 0
"19" 0 3 "female" 31 1 0 18 "S" 0 1 1
"20" 1 3 "female" 29.6991176470588 0 0 7.225 "C" 1 1 1
"21" 0 2 "male" 35 0 0 26 "S" 0 0 0
"22" 1 2 "male" 34 0 0 13 "S" 0 0 0
"23" 1 3 "female" 15 0 0 8.0292 "Q" 1 1 1
"24" 1 1 "male" 28 0 0 35.5 "S" 0 0 1
"25" 0 3 "female" 8 3 1 21.075 "S" 0 1 1
"26" 1 3 "female" 38 1 5 31.3875 "S" 1 0 0
"27" 0 3 "male" 29.6991176470588 0 0 7.225 "C" 0 0 0
"28" 0 1 "male" 19 3 2 263 "S" 0 0 1
"29" 1 3 "female" 29.6991176470588 0 0 7.8792 "Q" 1 1 0
"30" 0 3 "male" 29.6991176470588 0 0 7.8958 "S" 0 0 0
"31" 0 1 "male" 40 0 0 27.7208 "C" 0 1 1
"32" 1 1 "female" 29.6991176470588 1 0 146.5208 "C" 1 1 1
"33" 1 3 "female" 29.6991176470588 0 0 7.75 "Q" 1 1 0
"34" 0 2 "male" 66 0 0 10.5 "S" 0 0 0
"35" 0 1 "male" 28 1 0 82.1708 "C" 0 1 1
"36" 0 1 "male" 42 1 0 52 "S" 0 0 0
"37" 1 3 "male" 29.6991176470588 0 0 7.2292 "C" 0 0 0
"38" 0 3 "male" 21 0 0 8.05 "S" 0 0 0
"39" 0 3 "female" 18 2 0 18 "S" 0 1 1
"40" 1 3 "female" 14 1 0 11.2417 "C" 1 1 1
"41" 0 3 "female" 40 1 0 9.475 "S" 0 0 1
"42" 0 2 "female" 27 1 0 21 "S" 1 1 1
"43" 0 3 "male" 29.6991176470588 0 0 7.8958 "C" 0 0 0
"44" 1 2 "female" 3 1 2 41.5792 "C" 1 1 1
"45" 1 3 "female" 19 0 0 7.8792 "Q" 1 1 1
"46" 0 3 "male" 29.6991176470588 0 0 8.05 "S" 0 0 0
"47" 0 3 "male" 29.6991176470588 1 0 15.5 "Q" 0 0 0
"48" 1 3 "female" 29.6991176470588 0 0 7.75 "Q" 1 1 0
"49" 0 3 "male" 29.6991176470588 2 0 21.6792 "C" 0 0 0
"50" 0 3 "female" 18 1 0 17.8 "S" 1 1 1
"51" 0 3 "male" 7 4 1 39.6875 "S" 0 0 0
"52" 0 3 "male" 21 0 0 7.8 "S" 0 0 0
"53" 1 1 "female" 49 1 0 76.7292 "C" 1 1 1
"54" 1 2 "female" 29 1 0 26 "S" 1 1 1
"55" 0 1 "male" 65 0 1 61.9792 "C" 0 0 0
"56" 1 1 "male" 29.6991176470588 0 0 35.5 "S" 0 0 1
"57" 1 2 "female" 21 0 0 10.5 "S" 1 1 1
"58" 0 3 "male" 28.5 0 0 7.2292 "C" 0 0 0
"59" 1 2 "female" 5 1 2 27.75 "S" 1 1 1
"60" 0 3 "male" 11 5 2 46.9 "S" 0 0 0
"61" 0 3 "male" 22 0 0 7.2292 "C" 0 0 0
"62" 0 1 "male" 45 1 0 83.475 "S" 0 0 1
"63" 0 3 "male" 4 3 2 27.9 "S" 0 0 0
"64" 0 1 "male" 29.6991176470588 0 0 27.7208 "C" 0 1 1
"65" 1 3 "male" 29.6991176470588 1 1 15.2458 "C" 0 0 0
"66" 1 2 "female" 29 0 0 10.5 "S" 1 1 1
"67" 0 3 "male" 19 0 0 8.1583 "S" 0 0 0
"68" 1 3 "female" 17 4 2 7.925 "S" 0 1 0
"69" 0 3 "male" 26 2 0 8.6625 "S" 0 0 0
"70" 0 2 "male" 32 0 0 10.5 "S" 0 0 0
"71" 0 3 "female" 16 5 2 46.9 "S" 0 0 0
"72" 0 2 "male" 21 0 0 73.5 "S" 0 0 0
"73" 0 3 "male" 26 1 0 14.4542 "C" 0 0 0
"74" 1 3 "male" 32 0 0 56.4958 "S" 0 0 0
"75" 0 3 "male" 25 0 0 7.65 "S" 0 0 0
"76" 0 3 "male" 29.6991176470588 0 0 7.8958 "S" 0 0 0
"77" 0 3 "male" 29.6991176470588 0 0 8.05 "S" 0 0 0
"78" 1 2 "male" 0.83 0 2 29 "S" 1 0 0
"79" 1 3 "female" 30 0 0 12.475 "S" 1 1 1
"80" 0 3 "male" 22 0 0 9 "S" 0 0 0
"81" 1 3 "male" 29 0 0 9.5 "S" 0 0 0
"82" 1 3 "female" 29.6991176470588 0 0 7.7875 "Q" 1 1 0
"83" 0 1 "male" 28 0 0 47.1 "S" 0 0 1
"84" 1 2 "female" 17 0 0 10.5 "S" 1 1 1
"85" 1 3 "female" 33 3 0 15.85 "S" 0 0 0
"86" 0 3 "male" 16 1 3 34.375 "S" 0 0 0
"87" 0 3 "male" 29.6991176470588 0 0 8.05 "S" 0 0 0
"88" 1 1 "female" 23 3 2 263 "S" 1 1 1
"89" 0 3 "male" 24 0 0 8.05 "S" 0 0 0
"90" 0 3 "male" 29 0 0 8.05 "S" 0 0 0
"91" 0 3 "male" 20 0 0 7.8542 "S" 0 0 0
"92" 0 1 "male" 46 1 0 61.175 "S" 0 0 0
"93" 0 3 "male" 26 1 2 20.575 "S" 0 0 0
"94" 0 3 "male" 59 0 0 7.25 "S" 0 0 0
"95" 0 3 "male" 29.6991176470588 0 0 8.05 "S" 0 0 0
"96" 0 1 "male" 71 0 0 34.6542 "C" 0 0 0
"97" 1 1 "male" 23 0 1 63.3583 "C" 0 1 1
"98" 1 2 "female" 34 0 1 23 "S" 1 1 1
"99" 0 2 "male" 34 1 0 26 "S" 0 0 0
"100" 0 3 "female" 28 0 0 7.8958 "S" 1 1 1
"101" 0 3 "male" 29.6991176470588 0 0 7.8958 "S" 0 0 0
"102" 0 1 "male" 21 0 1 77.2875 "S" 0 0 1
"103" 0 3 "male" 33 0 0 8.6542 "S" 0 0 0
"104" 0 3 "male" 37 2 0 7.925 "S" 0 0 0
"105" 0 3 "male" 28 0 0 7.8958 "S" 0 0 0
"106" 1 3 "female" 21 0 0 7.65 "S" 1 1 1
"107" 1 3 "male" 29.6991176470588 0 0 7.775 "S" 0 0 0
"108" 0 3 "male" 38 0 0 7.8958 "S" 0 0 0
"109" 1 3 "female" 29.6991176470588 1 0 24.15 "Q" 1 1 0
"110" 0 1 "male" 47 0 0 52 "S" 0 0 0
"111" 0 3 "female" 14.5 1 0 14.4542 "C" 1 1 1
"112" 0 3 "male" 22 0 0 8.05 "S" 0 0 0
"113" 0 3 "female" 20 1 0 9.825 "S" 1 1 1
"114" 0 3 "female" 17 0 0 14.4583 "C" 1 1 1
"115" 0 3 "male" 21 0 0 7.925 "S" 0 0 0
"116" 0 3 "male" 70.5 0 0 7.75 "Q" 0 0 0
"117" 0 2 "male" 29 1 0 21 "S" 0 0 0
"118" 0 1 "male" 24 0 1 247.5208 "C" 0 0 1
"119" 0 3 "female" 2 4 2 31.275 "S" 0 1 0
"120" 0 2 "male" 21 2 0 73.5 "S" 0 0 0
"121" 0 3 "male" 29.6991176470588 0 0 8.05 "S" 0 0 0
"122" 0 2 "male" 32.5 1 0 30.0708 "C" 0 0 0
"123" 1 2 "female" 32.5 0 0 13 "S" 1 1 1
"124" 0 1 "male" 54 0 1 77.2875 "S" 0 0 0
"125" 1 3 "male" 12 1 0 11.2417 "C" 0 0 0
"126" 0 3 "male" 29.6991176470588 0 0 7.75 "Q" 0 0 0
"127" 1 3 "male" 24 0 0 7.1417 "S" 0 0 0
"128" 1 3 "female" 29.6991176470588 1 1 22.3583 "C" 1 1 1
"129" 0 3 "male" 45 0 0 6.975 "S" 0 0 0
"130" 0 3 "male" 33 0 0 7.8958 "C" 0 0 0
"131" 0 3 "male" 20 0 0 7.05 "S" 0 0 0
"132" 0 3 "female" 47 1 0 14.5 "S" 0 0 0
"133" 1 2 "female" 29 1 0 26 "S" 1 1 1
"134" 0 2 "male" 25 0 0 13 "S" 0 0 0
"135" 0 2 "male" 23 0 0 15.0458 "C" 0 0 0
"136" 1 1 "female" 19 0 2 26.2833 "S" 1 1 1
"137" 0 1 "male" 37 1 0 53.1 "S" 0 0 0
"138" 0 3 "male" 16 0 0 9.2167 "S" 0 0 0
"139" 0 1 "male" 24 0 0 79.2 "C" 0 1 1
"140" 0 3 "female" 29.6991176470588 0 2 15.2458 "C" 1 1 1
"141" 1 3 "female" 22 0 0 7.75 "S" 1 1 1
"142" 1 3 "female" 24 1 0 15.85 "S" 1 1 1
"143" 0 3 "male" 19 0 0 6.75 "Q" 0 0 0
"144" 0 2 "male" 18 0 0 11.5 "S" 0 0 0
"145" 0 2 "male" 19 1 1 36.75 "S" 0 0 0
"146" 1 3 "male" 27 0 0 7.7958 "S" 0 0 0
"147" 0 3 "female" 9 2 2 34.375 "S" 1 1 1
"148" 0 2 "male" 36.5 0 2 26 "S" 0 0 0
"149" 0 2 "male" 42 0 0 13 "S" 0 0 0
"150" 0 2 "male" 51 0 0 12.525 "S" 0 0 0
"151" 1 1 "female" 22 1 0 66.6 "S" 1 1 1
"152" 0 3 "male" 55.5 0 0 8.05 "S" 0 0 0
"153" 0 3 "male" 40.5 0 2 14.5 "S" 0 0 0
"154" 0 3 "male" 29.6991176470588 0 0 7.3125 "S" 0 0 0
"155" 0 1 "male" 51 0 1 61.3792 "C" 0 0 0
"156" 1 3 "female" 16 0 0 7.7333 "Q" 1 1 1
"157" 0 3 "male" 30 0 0 8.05 "S" 0 0 0
"158" 0 3 "male" 29.6991176470588 0 0 8.6625 "S" 0 0 0
"159" 0 3 "male" 29.6991176470588 8 2 69.55 "S" 0 0 0
"160" 0 3 "male" 44 0 1 16.1 "S" 0 0 0
