"Pclass" "Sex" "Age" "SibSp" "Parch" "Fare" "Embarked" "Classification1ErrorVector" "Classification2ErrorVector" "Classification3ErrorVector"
"1" 3 1 22 1 0 7.25 "S" 0 0 0
"2" 1 0 38 1 0 71.2833 "C" 1 1 1
"3" 3 0 26 0 0 7.925 "S" 1 1 1
"4" 1 0 35 1 0 53.1 "S" 1 1 1
"5" 3 1 35 0 0 8.05 "S" 0 0 0
"6" 3 1 29.6991176470588 0 0 8.4583 "Q" 0 0 0
"7" 1 1 54 0 0 51.8625 "S" 0 0 0
"8" 3 1 2 3 1 21.075 "S" 0 0 0
"9" 3 0 27 0 2 11.1333 "S" 1 1 0
"10" 2 0 14 1 0 30.0708 "C" 1 1 1
"11" 3 0 4 1 1 16.7 "S" 1 1 1
"12" 1 0 58 0 0 26.55 "S" 1 1 1
"13" 3 1 20 0 0 8.05 "S" 0 0 0
"14" 3 1 39 1 5 31.275 "S" 0 0 0
"15" 3 0 14 0 0 7.8542 "S" 1 1 1
"16" 2 0 55 0 0 16 "S" 1 1 1
"17" 3 1 2 4 1 29.125 "Q" 0 0 0
"18" 2 1 29.6991176470588 0 0 13 "S" 0 0 0
"19" 3 0 31 1 0 18 "S" 0 1 1
"20" 3 0 29.6991176470588 0 0 7.225 "C" 1 1 1
"21" 2 1 35 0 0 26 "S" 0 0 0
"22" 2 1 34 0 0 13 "S" 0 0 0
"23" 3 0 15 0 0 8.0292 "Q" 1 1 1
"24" 1 1 28 0 0 35.5 "S" 0 0 1
"25" 3 0 8 3 1 21.075 "S" 0 1 1
"26" 3 0 38 1 5 31.3875 "S" 1 0 0
"27" 3 1 29.6991176470588 0 0 7.225 "C" 0 0 0
"28" 1 1 19 3 2 263 "S" 0 0 1
"29" 3 0 29.6991176470588 0 0 7.8792 "Q" 1 1 0
"30" 3 1 29.6991176470588 0 0 7.8958 "S" 0 0 0
"31" 1 1 40 0 0 27.7208 "C" 0 1 1
"32" 1 0 29.6991176470588 1 0 146.5208 "C" 1 1 1
"33" 3 0 29.6991176470588 0 0 7.75 "Q" 1 1 0
"34" 2 1 66 0 0 10.5 "S" 0 0 0
"35" 1 1 28 1 0 82.1708 "C" 0 1 1
"36" 1 1 42 1 0 52 "S" 0 0 0
"37" 3 1 29.6991176470588 0 0 7.2292 "C" 0 0 0
"38" 3 1 21 0 0 8.05 "S" 0 0 0
"39" 3 0 18 2 0 18 "S" 0 1 1
"40" 3 0 14 1 0 11.2417 "C" 1 1 1
"41" 3 0 40 1 0 9.475 "S" 0 0 1
"42" 2 0 27 1 0 21 "S" 1 1 1
"43" 3 1 29.6991176470588 0 0 7.8958 "C" 0 0 0
"44" 2 0 3 1 2 41.5792 "C" 1 1 1
"45" 3 0 19 0 0 7.8792 "Q" 1 1 1
"46" 3 1 29.6991176470588 0 0 8.05 "S" 0 0 0
"47" 3 1 29.6991176470588 1 0 15.5 "Q" 0 0 0
"48" 3 0 29.6991176470588 0 0 7.75 "Q" 1 1 0
"49" 3 1 29.6991176470588 2 0 21.6792 "C" 0 0 0
"50" 3 0 18 1 0 17.8 "S" 1 1 1
"51" 3 1 7 4 1 39.6875 "S" 0 0 0
"52" 3 1 21 0 0 7.8 "S" 0 0 0
"53" 1 0 49 1 0 76.7292 "C" 1 1 1
"54" 2 0 29 1 0 26 "S" 1 1 1
"55" 1 1 65 0 1 61.9792 "C" 0 0 0
"56" 1 1 29.6991176470588 0 0 35.5 "S" 0 0 1
"57" 2 0 21 0 0 10.5 "S" 1 1 1
"58" 3 1 28.5 0 0 7.2292 "C" 0 0 0
"59" 2 0 5 1 2 27.75 "S" 1 1 1
"60" 3 1 11 5 2 46.9 "S" 0 0 0
"61" 3 1 22 0 0 7.2292 "C" 0 0 0
"62" 1 1 45 1 0 83.475 "S" 0 0 1
"63" 3 1 4 3 2 27.9 "S" 0 0 0
"64" 1 1 29.6991176470588 0 0 27.7208 "C" 0 1 1
"65" 3 1 29.6991176470588 1 1 15.2458 "C" 0 0 0
"66" 2 0 29 0 0 10.5 "S" 1 1 1
"67" 3 1 19 0 0 8.1583 "S" 0 0 0
"68" 3 0 17 4 2 7.925 "S" 0 1 0
"69" 3 1 26 2 0 8.6625 "S" 0 0 0
"70" 2 1 32 0 0 10.5 "S" 0 0 0
"71" 3 0 16 5 2 46.9 "S" 0 0 0
"72" 2 1 21 0 0 73.5 "S" 0 0 0
"73" 3 1 26 1 0 14.4542 "C" 0 0 0
"74" 3 1 32 0 0 56.4958 "S" 0 0 0
"75" 3 1 25 0 0 7.65 "S" 0 0 0
"76" 3 1 29.6991176470588 0 0 7.8958 "S" 0 0 0
"77" 3 1 29.6991176470588 0 0 8.05 "S" 0 0 0
"78" 2 1 0.83 0 2 29 "S" 1 0 0
"79" 3 0 30 0 0 12.475 "S" 1 1 1
"80" 3 1 22 0 0 9 "S" 0 0 0
"81" 3 1 29 0 0 9.5 "S" 0 0 0
